"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Lærdal";15.50;14.90;21.40;63.10;105.80;263.70;599.30;254.90;2.40;0.00
"Årdal";17.90;11.58;18.92;54.74;123.75;311.61;357.02;76.34;6.64;0.23
"Luster";38.28;44.18;162.73;315.73;408.18;582.19;724.81;362.36;62.62;1.19
"Askvoll";154.00;59.00;64.00;42.00;3.00;0.00;0.00;0.00;0.00;0.00
"Fjaler";44.50;43.10;84.10;198.00;48.30;0.00;0.00;0.00;0.00;0.00
"Gaular";8.40;31.40;90.60;195.90;186.90;63.80;2.00;0.00;0.00;0.00
"Jølster";0.00;0.40;92.00;125.00;147.00;145.26;87.37;66.21;0.29;0.00
"Førde";9.00;35.00;55.00;180.94;157.53;95.00;50.00;8.00;0.00;0.00
"Naustdal";10.87;22.00;53.73;125.00;93.00;55.00;9.00;0.00;0.00;0.00
"Bremanger";89.00;87.00;155.00;244.00;115.65;85.00;47.00;8.00;0.00;0.00
"Vågsøy";32.00;30.00;80.00;20.00;3.89;0.00;0.00;0.00;0.00;0.00
"Selje";35.81;36.68;65.33;95.45;2.30;0.00;0.00;0.00;0.00;0.00
"Eid";66.80;37.60;66.50;175.50;105.60;15.30;0.70;0.00;0.00;0.00
"Hornindal";10.00;12.70;28.04;50.15;49.04;35.93;4.96;0.00;0.00;0.00
"Gloppen";24.20;84.20;83.90;251.20;277.30;195.80;78.20;27.20;0.00;0.00
"Stryn";87.36;56.00;80.00;210.00;229.00;218.00;228.00;245.00;29.00;0.00
"Molde";69.65;69.26;113.59;90.70;17.33;1.49;0.00;0.00;0.00;0.00
"Ålesund";48.94;18.97;16.22;14.05;0.00;0.00;0.00;0.00;0.00;0.00
"Kristiansund";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Vanylven";39.50;41.90;64.10;167.15;69.00;3.35;0.00;0.00;0.00;0.00
"Sande (M. og R.)";19.60;16.30;27.30;27.75;0.05;0.00;0.00;0.00;0.00;0.00
"Herøy (M. og R.)";39.11;26.42;25.34;29.65;0.47;0.00;0.00;0.00;0.00;0.00
"Ulstein";21.93;14.38;24.61;34.90;0.87;0.00;0.00;0.00;0.00;0.00
"Hareid";22.68;14.28;15.39;29.33;0.45;0.00;0.00;0.00;0.00;0.00
"Volda";39.15;46.00;65.87;171.30;157.34;60.04;7.90;0.00;0.00;0.00
"Ørsta";35.73;72.42;86.78;219.90;219.15;134.56;33.08;1.44;0.00;0.00
"Ørskog";6.54;13.62;30.01;56.17;18.25;5.06;0.68;0.00;0.00;0.00
"Norddal";9.55;17.78;27.67;106.69;176.94;265.29;263.20;72.05;2.23;0.00
"Stranda";9.97;22.78;47.60;173.79;215.14;238.01;134.94;25.21;0.00;0.00
"Stordal";5.58;7.77;12.21;74.70;80.56;55.45;13.04;0.05;0.00;0.00
"Sykkylven";21.51;34.47;42.06;115.05;81.39;36.27;6.64;0.08;0.00;0.00
"Skodje";35.78;35.43;26.48;20.34;2.06;0.00;0.00;0.00;0.00;0.00
"Sula";19.13;9.81;8.30;17.55;4.04;0.00;0.00;0.00;0.00;0.00
"Giske";30.86;3.83;3.39;1.73;0.00;0.00;0.00;0.00;0.00;0.00
"Haram";73.15;43.42;55.78;65.06;18.52;0.63;0.00;0.00;0.00;0.00
"Vestnes";45.16;47.93;52.99;118.99;71.09;17.49;0.45;0.00;0.00;0.00
"Rauma";64.05;89.45;87.46;224.33;304.14;352.42;305.25;70.08;3.32;0.00
"Nesset";61.93;62.96;72.03;178.71;201.44;241.45;193.18;35.23;1.63;0.00
"Midsund";35.21;10.74;16.41;29.44;2.49;0.00;0.00;0.00;0.00;0.00
"Sandøy";18.85;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Aukra";52.13;2.06;2.53;1.81;0.00;0.00;0.00;0.00;0.00;0.00
"Fræna";173.46;56.11;54.69;67.60;15.39;0.26;0.00;0.00;0.00;0.00
"Eide";49.63;30.13;24.45;39.70;8.43;0.20;0.00;0.00;0.00;0.00
"Averøy";101.70;25.53;27.66;18.63;0.88;0.00;0.00;0.00;0.00;0.00
"Gjemnes";28.93;75.29;94.97;126.51;55.87;0.90;0.00;0.00;0.00;0.00
"Tingvoll";60.53;91.67;82.38;91.98;8.81;1.98;0.00;0.00;0.00;0.00
"Sunndal";32.54;56.73;75.91;158.00;289.15;420.20;485.68;186.80;6.87;0.00
"Surnadal";69.47;77.57;132.87;495.28;341.51;200.76;47.04;1.02;0.00;0.00
"Rindal";1.10;15.24;62.44;308.14;177.82;61.40;13.91;0.58;0.00;0.00
"Halsa";37.99;59.76;72.29;111.69;22.09;0.12;0.00;0.00;0.00;0.00
"Smøla";274.80;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Aure";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Trondheim";47.10;125.44;122.70;46.61;0.00;0.00;0.00;0.00;0.00;0.00
"Hemne";70.49;97.07;150.62;284.12;56.25;0.92;0.00;0.00;0.00;0.00
"Snillfjord";53.70;97.40;122.50;219.80;14.60;0.00;0.00;0.00;0.00;0.00
"Hitra";358.46;280.11;41.03;0.41;0.00;0.00;0.00;0.00;0.00;0.00
"Frøya";230.08;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Ørland";65.03;3.92;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Agdenes";43.20;82.20;123.10;68.80;0.70;0.00;0.00;0.00;0.00;0.00
"Rissa";78.80;124.54;251.41;166.41;0.14;0.00;0.00;0.00;0.00;0.00
"Bjugn";140.32;128.05;88.86;24.66;0.00;0.00;0.00;0.00;0.00;0.00
"Åfjord";113.71;144.19;260.55;432.68;4.02;0.00;0.00;0.00;0.00;0.00
"Roan";47.82;44.69;104.95;175.88;0.10;0.00;0.00;0.00;0.00;0.00
"Osen";46.30;54.79;131.90;152.83;0.00;0.00;0.00;0.00;0.00;0.00
"Oppdal";0.00;0.00;0.94;134.75;390.83;772.28;795.89;175.85;2.89;0.00
"Rennebu";0.00;0.00;28.07;243.49;484.03;175.20;5.46;0.01;0.00;0.00
"Meldal";0.00;19.96;93.04;359.60;149.28;11.33;0.00;0.00;0.00;0.00
"Orkdal";35.02;52.79;211.08;275.49;18.94;0.00;0.00;0.00;0.00;0.00
"Røros";0.00;0.00;0.00;0.00;1594.65;330.45;30.62;0.40;0.00;0.00
"Holtålen";0.00;0.00;12.11;162.82;664.31;365.54;3.79;0.00;0.00;0.00
"Midtre Gauldal";0.15;22.75;66.65;677.93;731.36;360.54;1.92;0.00;0.00;0.00
"Melhus";53.00;57.23;176.21;392.10;17.59;0.07;0.00;0.00;0.00;0.00
"Skaun";12.18;44.57;95.23;71.59;0.00;0.00;0.00;0.00;0.00;0.00
"Klæbu";0.00;30.65;45.53;101.41;7.77;0.00;0.00;0.00;0.00;0.00
"Malvik";9.59;24.13;93.23;44.76;0.02;0.00;0.00;0.00;0.00;0.00
"Selbu";0.00;55.58;112.16;689.54;341.09;34.74;1.95;0.00;0.00;0.00
"Tydal";0.00;0.00;7.09;159.18;818.10;288.54;55.27;2.40;0.00;0.00
"Steinkjer";221.09;369.97;440.85;507.26;24.07;0.00;0.00;0.00;0.00;0.00
"Namsos";156.56;231.45;261.38;124.72;0.69;0.00;0.00;0.00;0.00;0.00
"Meråker";0.00;16.63;35.88;521.96;621.02;76.32;1.01;0.00;0.00;0.00
"Stjørdal";75.22;115.51;245.80;442.47;41.66;2.55;0.00;0.00;0.00;0.00
"Frosta";26.91;31.05;16.57;1.44;0.00;0.00;0.00;0.00;0.00;0.00
"Leksvik";9.21;42.05;154.47;224.82;0.01;0.00;0.00;0.00;0.00;0.00
"Levanger";101.28;188.52;154.36;208.24;3.97;0.00;0.00;0.00;0.00;0.00
"Verdal";68.66;110.04;307.76;802.62;254.82;3.62;0.00;0.00;0.00;0.00
"Verran";17.01;33.14;111.17;436.64;3.57;0.00;0.00;0.00;0.00;0.00
"Namdalseid";58.40;184.85;270.39;254.36;1.46;0.00;0.00;0.00;0.00;0.00
"Snåase - Snåsa";102.91;91.07;280.06;1234.66;607.54;12.43;0.00;0.00;0.00;0.00
"Lierne";0.00;0.00;1.08;1430.29;1332.02;199.93;8.79;0.00;0.00;0.00
"Raarvihke - Røyrvik";0.00;0.00;0.83;697.26;704.93;176.07;8.22;0.00;0.00;0.00
"Namsskogan";0.00;27.03;267.55;691.36;409.23;20.96;0.00;0.00;0.00;0.00
"Grong";30.47;157.40;294.06;489.48;164.27;3.89;0.00;0.00;0.00;0.00
"Høylandet";39.89;117.48;217.60;257.28;123.20;0.25;0.00;0.00;0.00;0.00
"Overhalla";120.47;122.09;212.05;265.36;10.17;0.00;0.00;0.00;0.00;0.00
"Fosnes";137.95;98.08;145.97;139.67;23.87;0.00;0.00;0.00;0.00;0.00
"Flatanger";107.20;97.81;138.39;114.39;0.17;0.00;0.00;0.00;0.00;0.00
"Vikna";269.31;40.37;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Nærøy";276.37;302.44;284.38;182.02;19.38;0.00;0.00;0.00;0.00;0.00
"Leka";60.20;21.78;13.27;12.92;0.00;0.00;0.00;0.00;0.00;0.00
"Inderøy";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Bodø";275.15;161.52;163.21;230.98;82.79;6.94;0.10;0.00;0.00;0.00
"Narvik";59.10;76.60;155.60;443.50;606.83;451.89;218.43;17.73;0.22;0.00
"Bindal";128.04;130.93;178.43;472.31;328.56;23.90;0.00;0.00;0.00;0.00
"Sømna";87.90;40.52;31.97;31.50;0.95;0.00;0.00;0.00;0.00;0.00
"Brønnøy";217.01;147.54;195.80;269.35;197.31;12.87;0.07;0.00;0.00;0.00
