"Protected area, by region, protected area, time  and  contents"

"County";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" ";" ";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)"
" ";"Nature reserves";..;99.18;101.29;..;..;..;138.72;..;142.01;142.39;142.39;145.64;200.02;207.94;210.88;210.29;210.30;224.76;218.22
" ";"Landscape protected areas";..;795.70;796.08;..;..;..;1687.50;..;2141.33;2498.19;2498.19;2498.19;2525.66;2525.66;2525.52;2520.07;2520.10;2519.16;2519.20
" ";"Other protections";..;8.67;8.67;..;..;..;5.71;..;5.70;241.84;242.38;242.38;242.38;242.38;242.38;241.84;241.84;241.15;241.15
"Sør-Trøndelag"
" ";"National parks";..;380.90;380.90;..;..;..;1424.55;..;1694.96;1695.03;1694.99;1691.23;1691.23;1691.23;1691.25;1690.38;1690.38;1690.37;1690.37
" ";"Nature reserves";..;144.81;144.81;..;..;..;183.67;..;218.05;271.84;275.02;363.80;376.96;380.50;380.63;380.42;380.37;403.98;410.68
" ";"Landscape protected areas";..;521.19;521.19;..;..;..;1105.77;..;1106.07;1108.44;1108.22;1275.23;1589.18;1581.91;1581.94;1581.04;1581.08;1580.49;1580.49
" ";"Other protections";..;2.01;2.01;..;..;..;2.54;..;2.54;2.54;2.54;2.55;2.55;2.55;2.55;2.54;2.54;2.28;2.27
"Nord-Trøndelag"
" ";"National parks";..;564.00;564.00;..;..;..;688.07;..;2926.98;2927.19;2927.19;2927.19;2927.19;2927.19;2927.19;2928.86;2928.86;2928.86;2933.67
" ";"Nature reserves";..;332.49;332.49;..;..;..;387.02;..;399.54;399.18;400.10;403.58;403.56;502.82;741.53;749.86;749.86;780.49;875.27
" ";"Landscape protected areas";..;0.00;2.70;..;..;..;2.72;..;99.01;99.01;99.01;99.01;99.01;99.01;99.01;99.04;99.04;99.04;99.04
" ";"Other protections";..;45.92;45.92;..;..;..;48.43;..;48.43;48.32;48.69;48.73;48.69;48.69;10.66;10.66;10.66;10.94;10.94
"Nordland"
" ";"National parks";..;2996.40;2996.40;..;..;..;3252.62;..;3935.42;3935.25;3934.91;3934.91;5030.59;5408.57;5408.58;5601.51;5601.51;5601.40;5601.40
" ";"Nature reserves";..;362.90;463.81;..;..;..;532.99;..;545.42;547.27;547.78;607.71;504.75;504.73;747.64;747.11;748.03;749.09;748.82
" ";"Landscape protected areas";..;700.66;693.81;..;..;..;839.40;..;839.53;839.54;839.65;839.65;871.55;871.55;871.69;872.36;872.36;872.36;872.35
" ";"Other protections";..;18.30;1.55;..;..;..;4.54;..;4.54;4.50;4.50;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51
"Troms - Romsa"
" ";"National parks";..;1614.80;1614.80;..;..;..;1613.00;..;1668.42;1697.71;1697.71;1697.71;1697.71;1697.71;2253.62;2252.79;2252.79;2252.79;2252.79
" ";"Nature reserves";..;98.54;126.27;..;..;..;123.00;..;148.55;148.58;148.58;148.58;148.67;148.68;148.71;147.87;148.71;149.54;151.74
" ";"Landscape protected areas";..;123.43;123.43;..;..;..;128.10;..;1281.93;1299.60;1299.60;1299.60;1299.70;1299.70;1591.56;1591.12;1591.12;1591.17;1591.17
" ";"Other protections";..;0.95;0.95;..;..;..;0.97;..;1.90;1.88;1.88;1.88;1.88;1.88;1.88;1.88;1.88;1.87;1.87
"Finnmark - Finnmárku"
" ";"National parks";..;1563.50;1563.50;..;..;..;2283.57;..;2282.83;4407.94;4407.94;4407.94;4407.94;4407.94;4408.31;4388.84;4388.89;4388.68;4388.74
" ";"Nature reserves";..;260.43;350.98;..;..;..;360.92;..;361.44;380.69;443.72;443.72;443.70;443.70;443.69;441.18;441.14;440.68;441.12
" ";"Landscape protected areas";..;129.37;129.37;..;..;..;375.27;..;375.35;622.48;622.48;622.48;622.48;622.48;622.55;619.48;619.45;619.83;619.85
" ";"Other protections";..;0.00;0.00;..;..;..;0.00;..;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.34

"Some areas are located in more than one county. Thus the sum of the "
"number in the counties is higher than the total number. <br />From "
"31.12.2003 onwards the area figures are calculated based on digital "
"overlay analysis, and a higher accuracy is obtained. <br />SSB has in "
"2013 change the projection WGS_1984_UTM_33N til ETRS_1989_LAEA. The "
"statistics areas may be a bit adjusted from earlier year<br />'Other "
"protections' include flora and fauna protection areas (biotop "
"protections), and since 2006 nature relics with an area protection "
"and biotops protected by the Wildlife Act are also included. <br "
"/>The numbers do not include flora- or fauna protections without area "
"protection.<br />Areas on Svalbard are protected according to the "
"Svalbard law. From 2009 are these areas included  in the total "
"numbers for protected areas. Figures per 31rst of December each year. "
"<br />Source: Directorate for Nature Management."

