ÒCountyÓ;ÓProtected area (km²)";" ";" ";" "
" ";"National parks";"Nature reserves";"Landscape protected areas";"Other protections"
"Hemnes";..;51.14;..;..
"Rana";1233.92;80.99;91.29;0.00
"Lurøy";..;2.38;0.95;..
"Træna";..;..;..;..
"Rødøy";74.92;2.22;..;..
"Meløy";193.57;8.21;..;..
"Gildeskål";126.64;20.44;0.79;..
"Beiarn";353.31;2.51;23.93;..
"Saltdal";895.12;41.30;477.35;..
"Fauske";178.52;4.25;..;..
"Sørfold";257.36;3.48;..;..
"Steigen";..;29.01;..;0.00
"Hamarøy - Hábmer";..;31.23;..;..
"Divtasvuodna - Tysfjord";..;10.18;..;..
"Lødingen";44.52;..;35.38;..
"Tjeldsund";..;4.00;..;..
"Evenes";..;3.06;..;..
"Ballangen";..;72.79;..;..
"Røst";..;0.80;2.94;..
"Værøy";..;2.15;1.93;..
"Flakstad";..;..;..;..
"Vestvågøy";..;1.37;0.83;..
"Vågan";..;8.80;1.37;..
"Hadsel";0.07;0.75;32.54;0.65
"Bø (Nordl.)";..;2.63;..;..
"Øksnes";..;10.18;..;..
"Sortland";5.68;7.16;2.58;..
"Andøy";..;49.10;8.95;..
"Moskenes";..;0.20;..;..
"Tromsø";..;10.74;228.33;0.00
"Harstad";..;0.41;1.69;..
"Kvæfjord";0.01;4.89;0.00;..
"Skånland";..;2.77;..;0.01
"Ibestad";..;5.29;..;..
"Gratangen";..;..;..;..
"Loabák - Lavangen";..;2.45;..;..
"Bardu";555.98;6.74;..;..
"Salangen";..;..;..;..
"Målselv";769.03;3.70;18.94;..
"Sørreisa";..;..;..;..
"Dyrøy";..;..;..;..
"Tranøy";91.71;11.20;1.14;..
"Torsken";33.23;5.04;14.89;..
"Berg";..;3.89;1.75;0.91
"Lenvik";..;2.41;0.86;0.46
"Balsfjord";..;5.11;66.10;..
"Karlsøy";..;37.62;182.60;..
"Lyngen";..;2.22;548.16;..
"Storfjord - Omasvuotna - Omasvuono";..;12.37;126.61;..
"Gáivuotna - Kåfjord";..;..;0.01;..
"Skjervøy";..;1.23;12.49;0.50
"Nordreisa";802.84;32.96;83.36;..
"Kvænangen";..;0.69;304.22;..
"Vardø";300.66;33.44;90.32;..
"Vadsø";722.32;0.88;..;..
"Hammerfest";122.82;3.33;..;..
"Guovdageaidnu - Kautokeino";1138.00;0.23;..;..
"Alta";130.18;11.03;76.92;..
"Loppa";..;2.59;..;..
"Hasvik";..;2.64;..;..
"Kvalsund";59.74;..;..;0.34
"Måsøy";..;4.85;..;..
"Nordkapp";..;4.70;..;..
"Porsanger - Porsángu - Porsanki";741.19;36.56;188.92;..
"Kárásjohka - Karasjok";271.81;1.62;..;..
"Lebesby";..;16.16;..;..
"Gamvik";..;36.44;..;..
"Berlevåg";..;12.00;9.42;..
"Deatnu - Tana";..;22.83;..;..
"Unjárga - Nesseby";92.31;0.28;9.62;0.01
"Båtsfjord";690.71;142.10;160.87;..
"Sør-Varanger";119.00;109.45;83.78;..

"Some areas are located in more than one county. Thus the sum of the "
"number in the counties is higher than the total number. <br />From "
"31.12.2003 onwards the area figures are calculated based on digital "
"overlay analysis, and a higher accuracy is obtained. <br />SSB has in "
"2013 change the projection WGS_1984_UTM_33N til ETRS_1989_LAEA. The "
"statistics areas may be a bit adjusted from earlier year<br />'Other "
"protections' include flora and fauna protection areas (biotop "
"protections), and since 2006 nature relics with an area protection "
"and biotops protected by the Wildlife Act are also included. <br "
"/>The numbers do not include flora- or fauna protections without area "
"protection.<br />Areas on Svalbard are protected according to the "
"Svalbard law. From 2009 are these areas included  in the total "
"numbers for protected areas. Figures per 31rst of December each year. "
"<br />Source: Directorate for Nature Management."

"1 January 2017 the municipalities 0706 Sandefjord, 0719 Andebu and "
"most of 0720 Stokke were merged to new municipality 0710 Sandefjord. "
"Also an area of 3 km2, with about 2 200 persons, was transferred from "
"Stokke to 0704 Tønsberg."

"Name changed from Slemdal in 1919."

"Name changed from Liknes in 1917."

"1 January 2006  1154 Vindafjord and 1159 Ølen were merged to 1160 "
"Vindafjord."

"1 January 2008 1503 Kristiansund and 1556 Frei were merged to 1505 "
"Kristiansund."

"An area with 380 inhabitants was per 1 January 2002 transferred from "
"1514 Sande to 1511 Vanylven."

"An area with 380 inhabitants was per 1 January 2002 transferred from "
"1514 Sande to 1511 Vanylven."

"1 January 2006 1569 Aure and 1572 Tustna were merged to 1576 Aure."

"1 January 2012 1723 Mosvik and 1729 Inderøy were merged to 1756 "
"Inderøy."

"1 January 2005 1804 Bodø and 1842 Skjerstad were merged to 1804 Bodø."

"1 January 2013 1901 Harstad and 1915 Bjarkøy were merged to 1903 "
"Harstad."

