lat,lng,dates
69.06,24.8,2011-02-01
62.45,10.45,2011-10-01
67.0,14.65,2011-09-01
69.18,24.46,2011-02-01
66.48,13.51,2011-05-01
69.02,17.62,2011-02-01
61.8,7.86,2011-09-01
62.3,9.7,2011-08-01
61.13,7.65,2011-08-01
62.51,10.58,2011-08-01
62.48,10.63,2011-08-01
61.3,9.22,2011-09-01
61.7,9.89,2011-08-01
62.69,9.62,2011-08-01
64.1,12.1,2011-08-01
62.59,10.9,2011-08-01
61.7,9.84,2011-08-01
61.71,9.93,2011-08-01
62.9,10.9,2011-09-01
64.1,12.19,2011-09-01
62.05,9.56,2011-08-01
65.4,12.79,2011-09-01
64.07,12.01,2011-01-01
69.69,25.37,2011-01-01
69.66,25.41,2011-01-01
68.69,18.79,2011-02-01
65.04,12.56,2011-02-01
66.33,13.77,2011-10-01
67.0,14.65,2011-10-01
65.02,12.86,2011-12-01
65.02,12.88,2011-12-01
63.97,12.46,2011-08-01
69.66,25.01,2011-02-01
62.7,9.2,2011-09-01
69.21,24.59,2011-03-01
69.99,28.9,2011-03-01
64.34,12.75,2011-02-01
69.03,24.8,2011-03-01
61.3,10.71,2011-06-01
61.73,9.82,2011-07-01
62.59,10.9,2011-08-01
67.07,14.38,2011-08-01
61.7,9.94,2011-08-01
64.1,12.28,2011-08-01
62.4,9.98,2011-09-01
62.66,10.97,2011-09-01
62.64,10.72,2011-09-01
61.29,9.18,2011-09-01
62.71,10.92,2011-09-01
62.54,9.74,2011-09-01
66.92,14.66,2011-09-01
65.3,13.61,2011-09-01
69.69,25.12,2011-01-01
64.83,12.09,2011-01-01
64.6,13.44,2011-01-01
64.13,13.26,2011-01-01
62.63,11.13,2011-09-01
70.13,23.67,2011-08-01
66.42,14.0,2011-04-01
62.96,11.77,2011-04-01
62.73,8.77,2011-09-01
64.3,12.89,2011-02-01
69.66,25.0,2011-03-01
69.02,24.99,2011-02-01
69.22,20.42,2011-03-01
62.22,9.82,2011-07-01
61.84,8.85,2011-09-01
61.7,9.95,2011-09-01
62.05,8.45,2011-07-01
61.94,9.52,2011-08-01
61.94,9.52,2011-08-01
61.68,9.93,2011-08-01
61.6,10.15,2011-08-01
62.06,9.67,2011-08-01
62.21,9.31,2011-07-01
62.36,10.32,2011-08-01
62.73,8.8,2011-08-01
61.74,9.8,2011-08-01
61.94,8.86,2011-08-01
67.16,15.24,2011-09-01
61.69,9.84,2011-09-01
62.66,9.42,2011-09-01
62.31,10.16,2011-09-01
62.66,10.89,2011-09-01
62.66,10.89,2011-09-01
64.6,13.46,2011-01-01
69.71,25.37,2011-01-01
62.43,11.18,2011-10-01
62.43,7.39,2011-01-01
62.34,7.07,2011-01-01
62.51,7.27,2011-03-01
61.7,9.72,2011-05-01
61.69,8.31,2011-09-01
66.46,14.04,2011-12-01
69.06,24.93,2011-02-01
62.69,9.37,2011-09-01
70.07,27.37,2011-03-01
64.62,13.45,2011-03-01
68.47,19.82,2011-03-01
68.47,19.82,2011-03-01
70.37,25.0,2011-05-01
64.37,12.94,2011-04-01
